Pipeline,Action,File path
gearoid.eu/portfolio-site,actions/checkout@v4.1.0,tmp/audit/gearoid.eu/portfolio-site/.github/workflows/portfolio-site.yml
gearoid.eu/portfolio-site,actions/upload-artifact@v4.1.0,tmp/audit/gearoid.eu/portfolio-site/.github/workflows/portfolio-site.yml
gearoid.eu/portfolio-site,actions/download-artifact@v4.1.0,tmp/audit/gearoid.eu/portfolio-site/.github/workflows/portfolio-site.yml

Pipeline,Secret,File path


Pipeline,Runner,File path
